Well,Platform,Sand Risk,"WHFP
(bars)",Date of last survey,Last sand level,Marker,Sand control,"ClampOn
Survey
Frequency",Delay survey (days),Next Survey Date,Velocity,SandProbe installation date,Choke Type,T-shape Installation,"EMS
(Erosion Monitoring system)",Gas Detector,"Change
choke
request",WELL STATUS,"Top Perfo Depth
(mSS)",Current Qgas (MMscfd),"DP Ratio (WHFP/ Flow Line Pressure), Barg",Max. Del. Pot. (MMscfd)
TN-S149,GTSS,Critical,49,9-Aug-22,Sand Free,Shallow,SCON,1 week,0,16-Aug-22,,23-Dec-15,Cameron Plug & Cage CC40,YES,,,SI,Sand_above screen and no flow. Visited on 16/12/2023.,702,0,,
TN-S156,GTSS,Critical,14,1-Dec-20,Sand Free,Shallow,Hanging Screen,1 week,0,8-Dec-20,,24-Mar-16,Vonk Non DV,YES,,,SI,SIBU_due to no flow. Last visited on 13/08/2023. Dialplate vonk choke n/a. ESDV Transit at GTS Indication broken.,1087,0,,
TN-S158,GTSS,Critical,19,22-May-23,Sand Free,Shallow,HESS Screen,1 week,0,29-May-23,,24-Mar-16,Vonk Non DV,YES,,,SI,SIBU_due to no flow. Last visited on 12/11/2023.,1404,0,,
TN-S159,GTSS,Critical,68,6-Aug-23,Sand Free,Shallow,GP,1 week,0,13-Aug-23,,24-Mar-16,Vonk Non DV,YES,,,SI,SIBU_due to no flow. Last visited on 12/12/2023. NuFlo not accurate. HLW. SDV Transit at GTS Indication broken.,853,0,,
TN-S161,GTSS,Critical,57,2-Oct-21,Sand Free,Shallow,PO Screen,1 week,0,9-Oct-21,,24-Aug-16,Vonk Non DV,YES,,,SI,Last visited on 02/01/2024. Internal choke removed by PRD/MNT. WHSIP UPDATED.,998,0,,
TN-S163,GTSS,Critical,44,20-Jul-22,Sand Free,Shallow,HESS Screen,1 week,0,27-Jul-22,,10-May-20,Masterflo P3,YES,,,SI,Sand_shallow with no sand control and no flow. Last visited on 01/10/2022. Nuflo OK. Nuflo May not accurate.,1211,0,,
TN-S164,GTSS,Critical,68,10-Jun-20,Sand Free,Shallow,SCON,1 week,0,17-Jun-20,,8-Oct-16,Vonk Non DV,YES,,,SI,Sand_due to high sand rate = 850 cc/h. Last visited on 16/07/2023. Internal Vonk Choke has been removed due to defect finding on front and back disk. UMV Pump low perfomance. PSV for hyd Header DHSV and UMV N/A. ESDV Transit at GTS Indication broken.,997,0,,
TN-S165,GTSS,Critical,47,2-May-19,Sand Free,Shallow,NO,1 week,0,9-May-19,,27-Dec-16,Vonk Non DV,,,,SI,SIBU_due to no flow. Last visited on 09/02/2023. Dismantle internal disc of vonk choke 8 mmNDV (For TN-S92). NuFlo good. Quick exhaust SSV Wing N/A,745,0,,
TN-S166,GTSS,Critical,32,1-Feb-18,,Shallow,SCON,1 week,0,8-Feb-18,,27-Dec-16,Vonk DV,YES,,,SI,Last visited on 26/10/2023. SDV outgoing Actuator exhaust leak (suspect from actuator seal).,1312,0,,
TN-S167,GTSS,Critical,25,2-Aug-22,Sandy,Shallow,SCON,1 week,0,9-Aug-22,,27-Dec-16,Vonk Non DV,YES,,,SI,Sand_due to sand indication. Last visited on 19/11/2022. NuFlo error. ESDV indicator stuck at 50%,1226,0,,
TN-S176,GTSS,Critical,17.3,15-Jun-21,Sand Free,Shallow,SCON,1 week,0,22-Jun-21,,28-Jan-18,Vonk Non DV,YES,,,SI,SIBU_due to no flow. Last visited on 18/11/2023. Flowline disconnected and Instrumentation disconnected.,975,0,,
TN-S178,GTSS,Critical,65,30-Jul-23,Sand Free,Shallow,GP,1 week,0,6-Aug-23,,7-Aug-18,Masterflo P3,,,,SI,SIBU_due to no flow. Last visited on 16/09/2023. NuFlo Broken.,1263,0,,
TN-S179,GTSS,Critical,52,20-Jun-19,Sand Free,Shallow,NO,1 week,0,27-Jun-19,,25-Feb-17,Vonk Non DV,YES,,,SI,SIBU_due to no flow. Last visited on 14/08/2023. No internal orifice.,814,0,,
TN-S183,GTSS,Critical,59.4,7-Dec-21,Sand Free,Shallow,Premium Screen,1 week,0,14-Dec-21,,10-May-20,Masterflo P3,,,,SI,Sand_above screen. Last visited on 18/11/2023.,1093,0,,
TN-S191,GTSS,Critical,0,31-Dec-23,Sand Free,Shallow,PO Screen,1 week,0,7-Jan-24,,19-Nov-19,Masterflo P3,,,,SI,SIBU_due to no flow. Last visited on 31/12/2023. (Nuflo broken and No cover). Ann#A vacum.,804,0,,
TN-S193,GTSS,Critical,2.3,18-Dec-22,Sand Free,Shallow,SCON SacTi,1 week,0,25-Dec-22,,21-Oct-20,Masterflo P3,YES,,,SI,Keep S/I_due to weak flow after clean up. Sand_due to sand producer. Last visited on 09/10/2023. Kenco of CI package plugged. Nuflo Ok. ESDV Transit at GTS Indication broken.,1475,0,,
TN-S195,GTSS,Critical,6.8,11-Feb-23,Sand Free,Shallow,HESS Screen,1 week,0,18-Feb-23,,31-Jan-19,Masterflo P3,YES,,,SI,SIBU_due to no flow. Last visited on 13/11/2023. Nuflo Ok.,1660,0,,
TN-S196,GTSS,Critical,19.5,29-Mar-23,Sand Free,Shallow,SCON SC3,1 week,0,5-Apr-23,,25-Dec-19,Masterflo P3,,,,SI,SIBU_due to no flow. Last visited on 30/12/2023. NuFlo OK.,1351,0,,
TN-S197,GTSS,Critical,10,20-Oct-23,Sand Free,Shallow,SCON SacTi,1 week,0,27-Oct-23,,25-Dec-19,Masterflo P3,,,,SI,SIBU_due to no flow. Last visited on 05/12/2023.,1371,0,,
TN-S198,GTSS,Critical,60,22-Mar-23,Sand Free,Shallow,SCON,1 week,0,29-Mar-23,,22-Aug-20,Masterflo P3,,,,SI,SIBU_due to no flow. Last visited on 09/12/2023. NuFlo OK.,800,0,,
TN-S199,GTSS,Critical,26.7,28-Sep-22,Sandy,Shallow,Screen,1 week,0,5-Oct-22,,22-Aug-20,Masterflo P3,,,,SI,Sand_after Sand monitoring. Well keep S/I. Last visited on 19/11/2023. NuFlo error.,727,0,,
TN-S200,GTSS,Critical,27.5,8-Nov-23,Sand Free,Shallow,SCON,1 week,0,15-Nov-23,,,Masterflo P3,,,,SI,Sibu_due to no flow. Last visited on 09/12/2023. Nuflo OK. Kenco at Chemical Injection broken.,1190,0,,
TN-S201,GTSS,Critical,98,8-Nov-23,Sand Free,Shallow,SCON SacTi,1 week,0,15-Nov-23,,2-Jan-20,Masterflo P3,YES,,,SI,SIBU_due to no flow. Last visited on 12/12/2023. Nuflo OK.,1919,0,,
TN-S208,GTSS,Critical,12,14-Dec-23,Sand Free,Shallow,SCON,1 week,0,21-Dec-23,,19-Jul-19,Masterflo P3,,,,SI,SIBU_due to no flow.'Last visited on 20/12/2023. Qgas no reference (Nuflo no display).,799,0,,
TN-S215,GTSS,Critical,20,2-Jun-23,Sand Free,Shallow,HESS Screen,1 week,0,9-Jun-23,,17-Dec-19,Masterflo P3,,,,SI,SIBU_due to no flow. Last visited on 23/11/2023. Nuflo OK. ESDV Transit at GTS Indication broken.,1102,0,,
TN-S216,GTSS,Critical,10,17-Oct-23,Sand Free,Shallow,SCON,1 week,0,24-Oct-23,,17-Dec-19,Masterflo P3,,,,SI,SIBU_due to no flow .Last visited on 05/12/2023. Nuflo OK. ESDV Transit at GTS Indication broken.,1001,0,,
TN-S221,GTSS,Critical,30,27-May-22,Sand Free,Shallow,SCON ,1 week,0,3-Jun-22,,25-Jan-20,Masterflo P3,,,,SI,"Sand_sand above filtrex and no flow. Last visited on 28/08/2022.  Nuflo OK, internal Wellhead choke erroded.",1129,0,,
TN-S222,GTSS,Critical,44,14-May-22,Sand Free,Shallow,Sand trap ABC,1 week,0,21-May-22,,25-Jan-20,Masterflo P3,YES,,,SI,SIBU_due to no flow. After PBMS. Last visited on 01/12/2023.,1612,0,,
TN-S52,GTSS,Critical,30,26-May-18,,Shallow,NO,1 week,0,2-Jun-18,,31-Jan-14,Vonk Non DV,YES, , ,SI,SIBU_due to no flow. Fully Shut in well. Last visited on 05/12/2023. Internal vonk choke 6mmNDV Removed for TN-AA72. SCON WELL. Spiral tube well. Regulator pilot PSHH & PSLL at manifold canibalize for line C2. Ann#B valve stuck.,1630,0,,0
TN-S59,GTSS,Critical,19.6,6-Jun-23,SandFree,Shallow,SCON,1 week,0,13-Jun-23,,,Cameron Fixed,YES, , ,SI,Sand_sand above perforation. SCON_ not to be POP as per WPT recomendation. Last visited on 15/10/2023. SCON WELL. DHSV & UMV pump low performance. Leaking at connector instrumentation. Hydrolic empty,1735,0,,0
TN-S88,GTSS,Critical,15,20-May-21,Sand Free,Shallow,OH-SAS,1 week,0,27-May-21,,13-Apr-15,Vonk DV,,,,SI,,1080,0,,2.2
TN-S9,GTSS,Critical,24.5,1-Jul-18,,Shallow,SCON,1 week,0,8-Jul-18,,15-May-16,Vonk DV,, , ,SI,,1295,0,,0
TN-S91,GTSS,Critical,28,7-Jun-23,SandFree,Shallow,Hanging Screen,1 week,0,14-Jun-23,,3-Jun-15,Vonk Non DV,YES,,,SI,,724,0,,0.5
TN-S92,GTSS,Critical,48,5-Dec-22,Sand Free,Shallow,Sand Lock V,1 week,0,12-Dec-22,,3-Jul-16,Vonk Non DV,YES,,,SI,,591,0,,
TN-S95,GTSS,Critical,16,1-Jun-22,Sand Free,Shallow,SCON,1 week,0,8-Jun-22,,21-Oct-20,Masterflo P3,YES,,,SI,,1478,0,,
TN-T161,GTST,Critical,83,19-Oct-21,Sand Free,Shallow,Premium Screen,1 week,0,26-Oct-21,,0-Jan-00,Masterflo P3,YES,,,SI,,1169,0,,
TN-T162,GTST,Critical,12,5-May-23,Sand Free,Shallow,SCON,1 week,0,12-May-23,,0-Jan-00,Masterflo P3,YES,,,SI,,1132,0,,
TN-T163,GTST,Critical,62,14-Jun-23,Sand Free,Shallow,SCON,1 week,0,21-Jun-23,,0-Jan-00,Masterflo P3,YES,,,SI,,1500,0,,
TN-T164,GTST,Critical,40,15-May-22,Sand Free,Shallow,ST ABC,1 week,0,22-May-22,,0-Jan-00,Masterflo P3,YES,,,SI,,1590,0,,
TN-T165,GTST,Critical,97,27-Jun-22,Sand Free,Shallow,SCON SC3,1 week,0,4-Jul-22,,0-Jan-00,Masterflo P3,YES,,,SI,,1340,0,,
TN-T46,GTST,Critical,75,11-Aug-20,Sand Free,Shallow,GP,1 week,0,18-Aug-20,,27-Nov-13,Cameron Plug & Cage CC40,YES, , ,SI,,815,0,,0
TN-T47,GTST,Critical,30,11-Aug-20,Sand Free,Shallow,OH-SAS,1 week,0,18-Aug-20,,27-Nov-13,Cameron Plug & Cage CC30,YES, , ,SI,,855,0,,0.1
TN-T84,GTST,Critical,69,10-Nov-19,Sand Free,Shallow,CH-Ceramic Screen,1 week,0,17-Nov-19,,26-Sep-15,Vonk Non DV,YES,,,SI,,895,0,,0.5
TN-T89,GTSS,Critical,24,18-Jun-23,Sand Free,Shallow,PO Screen,1 week,0,25-Jun-23,,12-Nov-19,Masterflo P3,,,,SI,,955,0,,
TN-T90,GTST,Critical,26,9-Jul-20,Sand Free,Shallow,PO Screen,1 week,0,16-Jul-20,,12-Nov-19,Masterflo P3,YES,,,SI,,558,0,,
TN-TMx33,GTSTMx,Critical,77,21-May-19,Sand Free,Shallow,SCON,1 week,0,28-May-19,,4-Jul-16,Vonk Non DV,YES,,,SI,,907,0,,
TN-TMx39,GTSTMx,Critical,0,25-Nov-22,Sand Free,Shallow,Sand trap ABC,1 week,0,2-Dec-22,,9-Dec-16,Vonk Non DV,YES,,,SI,,826,0,,
TN-TMx47,GTSTMx,Critical,50,25-Apr-23,Sand Free,Shallow,SCON,1 week,0,2-May-23,,9-Dec-16,Vonk,YES,,,SI,,917,0,,
TN-TMx48,GTSTMx,Critical,0,4-Jun-23,Sand Free,Shallow,SCON,1 week,0,11-Jun-23,,16-Dec-16,Vonk Non DV,YES,,,SI,,969,0,,
TN-TMx49,GTSTMx,Critical,5,19-Sep-20,Sand Free,Shallow,SCON,1 week,0,26-Sep-20,,27-Feb-19,Masterflo P3,,,,SI,,1373,0,,
TN-TMx52,GTSTMx,Critical,68,8-Sep-18,,Shallow,Hanging Screen,1 week,0,15-Sep-18,,4-Jan-17,Vonk,YES,,,SI,,932,0,,
TN-TMx53,GTSTMx,Critical,57,20-Aug-19,Sand Free,Shallow,SCON,1 week,0,27-Aug-19,,27-Feb-19,Masterflo P3,YES,,,SI,,817,0,,
TN-TMx54,GTSTMx,Critical,75,2-May-23,Sand Free,Shallow,SCON SacTi,1 week,0,9-May-23,,22-Sep-19,Masterflo P3,YES,,,SI,,1224,0,,
TN-X33,GTSX,Critical,46,2-Jun-19,Sand Free,Shallow,Hanging Screen,1 week,0,9-Jun-19,,23-Dec-16,Vonk DV,YES,,,SI,,777,0,,
TN-X35,GTSX,Critical,58.3,26-Apr-21,Sand Free,Shallow,PO Screen,1 week,0,3-May-21,,19-Dec-19,Masterflo P3,,,,SI,,835,0,,
TN-X38,GTSX,Critical,0,1-Nov-21,Sand Free,Shallow,PO Screen,1 week,0,8-Nov-21,,11-Nov-18,Masterflo P3,YES,,,SI,,1224,0,,
TN-Fx143,GTSFx,High,11,23-Nov-23,Sand Free,SU1,NO,4 weeks,16,21-Dec-23,0.72,27-Dec-13,Cameron Plug & Cage CC40,YES, , ,,"Well visited (02/01/2024). Qgas from FT GTS drifting (not accurate). Autochoke cannot be regulated, only fully open/close. Ann#A PG broken & B PG n/a.",2837,0.6,1,0.1
TN-C106,GTSC,High,14,7-Dec-23,Sand Free,SU2,NO,4 weeks,2,4-Jan-24,0,21-Jul-17,Cameron Plug & Cage CC40,, , ,,Last visit on 02/01/2024. Qgas no reference due to F/R broken. Flow to TMP-1.,2862,0,1,1
TN-Bx131,GTSBx,High,10.3,24-Dec-23,Sand Free,SU1,NO,4 weeks,0,21-Jan-24,0.48,,Cameron Blind CC30,YES, , ,,Well Visited (20/12/2023). Qgas from FT Flowline.,2831,0.4,1,0.3
TN-Bx132,GTSBx,High,20,1-Jan-24,Sand Free,SU1,NO,2 weeks,0,15-Jan-24,0,19-Feb-13,Cameron Plug & Cage CC40,YES, , ,,Well visited (20/12/2023).  Qg = no refference.,2815,0,2,0.3
TN-C123,GTSC,High,55,25-Dec-23,Sand Free,SU1,NO,2 weeks,0,8-Jan-24,1.03,29-Sep-16,Vonk DV,YES, , ,,Last visit on 29/12/2023. Qgas from TBRG report. Ann#B broken. skoflo N/A. Flow to TMP-1.,2346,0.9,4,0.7
TN-C62,GTSC,High,40,27-Dec-23,Sand Free,Shallow,GP,2 weeks,0,10-Jan-24,3.13,23-Aug-13,Masterflo P3,YES, , ,,Last visit on 02/01/2024. NuFlo Broken. Qgas from FT calculation. CI optimization of C67. Flow to TMP-1. CI low level.,974,3.5,3,5
TN-C67,GTSC,High,41,27-Dec-23,Sand Free,Shallow,GP,2 weeks,0,10-Jan-24,2.34,26-Feb-16,Vonk Non DV,YES,,,,Last visit on 02/01/2024. Qgas from NuFlo. CI injection from TN-C62. CI optimization. Flow to TMP-1. Display Nu Flow Low Brightness.,829,2.8,3,
TN-G151,GTSG,High,57,30-Dec-23,Sand Free,SU1,NO,2 weeks,0,13-Jan-24,0,11-Feb-13,Cameron Plug & Cage CC40,YES, , ,,Last visited on 27/12/2023. Qgas no reference.,2694,0,5,0
TN-A433,GTSA,High,14,9-Dec-23,Sand Free,SU2,NO,4 weeks,0,6-Jan-24,,14-Feb-20,Masterflo P3,YES,,,,Well visited (4/1/2024). Emulsion Well. Qgas from Nuflo. Flow to TMP-2,2707,0.3,1,
TN-B82,GTSB,High,14,9-Dec-23,Sand Free,Shallow,GP,4 weeks,0,6-Jan-24,0,3-Sep-16,Vonk Non DV,YES,,,,Well visited (2/1/2024). Nuflo not accurate. Qgas no reference. Flow to TMP-1 via slot 16K.  CI Empty.,1729,0,1,
TN-3,GTSC,High,124.3,,,SU1,NO,2 weeks,,Not yet survey,0,7-Sep-12,Cameron Fixed,YES, , ,SI,SIBU_due to no flow. Last visit on 23/11/2023. 8'' Line to GTS keep depressurized due to thinning issue (Riser repair coating I/P).Troubleshooting PSDV-17B01 due to stuck open Completed. Autochoke can't be operated automatically or manually. Handwheel man,2368,0,,0
TN-8,GTSF,High,150,,,SU1,NO,2 weeks,,Not yet survey,0,,Cameron Fixed,YES, , ,SI,Unservice FL_due to flowline spool dismantled. Well visited (25/12/2021).,2371,0,,0
TN-9,GTSG,High,127,,,Shallow,NO,2 weeks,,Not yet survey,0,,Cameron Fixed,YES, , ,SI,SIBU_due to no flow. Last visited on 05/09/2023.,1458,0,,0
TN-A35,GTSA,High,37.3,,,Intrabeta,NO,2 weeks,,Not yet survey,0,31-Aug-12,Cameron Blind CC40,YES, , ,SI,SIBU_due to no flow. Well visited (08/01/2023). Manual wing stuck open 20 %. CI package taken for TN-A28. DBB at instrument flange removed for new well (Leak test only 35 B). WellHead Barton Chart removed to TN-A160/A453. ESDV outgoing removed for new wel,2564,0,,0
TN-A86,GTSA,High,9,,,SU1,TMZ,2 weeks,,Not yet survey,0,1-Jul-11,Vonk,YES, , ,SI,Plug AC_plugging well. Well visited (18/11/2023). NuFlo N/A.  Ann#B no access. DHSV & UMV pump N/A & Instrumentation not complete. Flow to TMP-1.,2562,0,,0
TN-Ax50,GTSAx,High,151,,,SU1,NO,2 weeks,,Not yet survey,0,6-Apr-13,Cameron Fixed,YES, , ,SI,"SIBU_due to no flow. Well visited (25/09/2022). Autochoke positioner no display. Manual wing stuck closed. Ball valve PSLL  DHSV passing. TN-Ax50 BV 8"" manual horizontal stuck closed --> Notif :  Flushing flowline, cpl.",3120,0,,0
TN-Ax69,GTSAx,High,0,,,SU1,NO,2 weeks,,Not yet survey,0,,Cameron Fixed,YES, , ,SI,"SIBU_due to no flow. Well visited (23/11/2022). Depressurize line above DHSV until u/s production header prior GTS-Ax preservation. TN-Ax69 remove SSV Wing dan instrument flange, install dummy spool.",2711,0,,0
TN-B140,GTSB,High,50,,,SU1,NO,2 weeks,,Not yet survey,0,17-Nov-12,Cameron Fixed,YES, , ,SI,SIBU_due to no flow. Well visited (18/12/2023). PG at W/H under range.,2824,0,,0
TN-B19,GTSB,High,140,,,SU1,NO,2 weeks,,Not yet survey,0,18-Mar-13,Cameron Fixed,YES, , ,SI,SIBU_due to no flow. Well visited (30/10/2023). Flow to TMP-1. Hyd Pump UMV N/A (Jumper from DHSV Pump). Found DHSV Hydraulic pump leaking at Filter.,2928,0,,0
TN-B1-ST1,GTSB,High,145,,,SU1,NO,2 weeks,,Not yet survey,0,,Cameron Fixed,YES, , ,SI,SIBU_due to no flow. Well visited (11/11/2023).  Manual Wing valve stuck close.,3324,0,,0
TN-B20,GTSB,High,123,,,SU1,NO,2 weeks,,Not yet survey,0,6-Jan-12,Cameron Fixed,YES, , ,SI,Plug well_prior RMI. Install blind at d/s manual wing. Flowline disconnected. Well visited (12/08/2023),3020,0,,0
TN-B3,GTSB,High,185,,,SU1,NO,2 weeks,,Not yet survey,0,,Cameron Fixed,YES, , ,SI,SIBU_due to no flow. Well visited (15/10/2023). Lower master valve (LMV) stuck OPEN. leak at SSV Wing actuator (suspected O-ring piston broken). Flow to TMP-1.,2978,0,,0
TN-B5,GTSB,High,10,,,SU1,NO,2 weeks,,Not yet survey,0,29-Aug-12,Cameron Fixed,YES, , ,SI,SIBU_due to no flow. Well visited (29/11/2022). DHSV could not be tested d/t  gas release from subsurface DHSV. Note : Installed spectacle blind at flowline.,2791,0,,0
TN-Bx36,GTSBx,High,11,,,SU1,NO,2 weeks,,Not yet survey,0,17-Apr-13,Cameron Fixed,YES, , ,SI,"FISH_fish left in well. Well visited (12/10/2023). PIT10H14 at flowline was missing. 6"" horizontal valve manifold stuck open. hyd pump for DHSV broken (leak from exhaust vent), SOV for UMV pump stuck closed.",2764,0,,0
TN-C104,GTSC,High,0.6,,,SU1,NO,2 weeks,,Not yet survey,0,11-Apr-14,Vonk,YES, , ,SI,SIBU_due to no flow. Fully shut-in well. Last visit on 06/07/2023. Unable to POP due to IGS line M leak (not effect by leak but join WHCP with IGS line M) . F/L Rec. Broken.,2316,0,,0
TN-C117,GTSC,High,94,,,SU1,NO,2 weeks,,Not yet survey,0,11-Mar-13,Cameron Fixed,YES, , ,SI,SIBU_due to no flow. Last visit on 03/12/2023. F/L Rec Broken. instrumental package ESDV incoming not completed.,2649,0,,0
TN-C122,GTSC,High,109,,,Intrabeta,NO,2 weeks,,Not yet survey,0,3-Sep-12,Cameron Fixed,YES, , ,SI,SIBU_due to no flow. Keep S/I as per WPT request. Last visit on 04/12/2023.,2588,0,,0
TN-C2,GTSC,High,162,,,SU1,NO,2 weeks,,Not yet survey,0,2-Sep-12,Cameron Fixed,YES, , ,SI,SIBU_due to no flow. Last visit on 27/10/2023. Leaking at SSV wing vent. Flowline blind. DHSV and UMV Pump N/A. Depressurize flowline up to GTS due to thinning issue. Jumper line closed. Do not POP all wells. SDV Incoming stuck open 80 %.,2589,0,,0
TN-C20,GTSC,High,100,,,SU1,NO,2 weeks,,Not yet survey,0,2-Oct-13,Cameron Fixed,YES, , ,SI,"SIBU_due to no flow. Fully shut-in well. Last visit on 06/07/2023. Need to install DBBs and Thermowell at intrument flange prior POP. F/L Rec N/A.  ESDV outgoing indicator stuck,valve open 100%. Ann#B no PG & Ann#C no PG ans acces. SSV wing quick exhaust",2949,0,,0.1
TN-C22B,GTSC,High,160,,,SU1,NO,2 weeks,,Not yet survey,0,6-Dec-15,Vonk,YES,,,SI,"SIBU_due to no flow. Last visit on 10/11/2023. High liquid producer well. Flowline used for TN-C449. Cannibalize DBB, DBC & Thermowell on X-mastree. Instrumentation not available.",2365,0,,0.2
TN-C3,GTSC,High,122.7,,,SU1,NO,2 weeks,,Not yet survey,0,3-Sep-12,Cameron Fixed,YES, , ,SI,Plugged well. Last visit on 23/11/2023. F/L Rec Broken.,3101,0,,0
TN-C6,GTSC,High,168,,,Intrabeta,NO,2 weeks,,Not yet survey,0,7-Sep-12,FMC,YES, , ,SI,SIBU_due to no flow. Last visit on 31/12/2023. F/L Rec Broken. Flowline blind. Depressurize Slot 17H and Passing test manifold prior open flange activity. BV at D/S BDV IGS Closed due to depressurize Slot 17H.  Keep isolate SDV Incoming and valves at mani,2577,0,,0
TN-F3,GTSF,High,0,,,SU1,NO,2 weeks,,Not yet survey,0,,Cameron Fixed,YES, , ,SI,"SIBU_due to no flow. Found passing valve to vent header. Well visited (09/07/2023). Flowline spool dismantled, WHCP N/A. Ann#C PG N/A. Handle valve inner annulus B broken.",3093,0,,0
TN-F4,GTSF,High,30,,,SU1,NO,2 weeks,,Not yet survey,0,6-Dec-11,Cameron Fixed,YES, , ,SI,SIBU_due to no flow. Well visited (24/12/2023). Manual F/L valve stuck open 50%.,3130,0,,0
TN-F5,GTSF,High,5.6,,,SU1,NO,2 weeks,,Not yet survey,0,6-Dec-11,FMC,YES, , ,SI,SIBU_due to no flow. Well visited (22/12/2022). Replace PSV completed pressure test 10 Barg. Regulator supply for DHSV and UMV Pump broken (Can't regulated). Ann#A & B PG broken.,2559,0,,0
TN-F50.G1.T1,GTSF,High,5,,,Shallow,Hz-Screen,2 weeks,,Not yet survey,0,,Cameron Fixed,YES, , ,SI,"SIBU_due to no flow. Well visited (18/12/2023). SDV incoming passing, close SDV transit at adjecent in case depressurize GTS manifold. DHSV pump broken.",1794,0,,0
TN-F6,GTSF,High,0,,,SU1,NO,2 weeks,,Not yet survey,0,27-Jan-12,FMC,YES, , ,SI,Plugging well_for Wellhead integrity concern.Well visited (13/11/2023). Manual outgoing valve is passing. F/L Valve Passing 1 Bars/10 Mins.,3060,0,,0
TN-F7,GTSF,High,70,,,SU1,NO,2 weeks,,Not yet survey,0,28-Jan-12,Cameron Fixed,YES, , ,SI,"SIBU_due to no flow. Well visited (07/10/2023). Using surfactant to open DHSV (Regulator and tubing of surfactant package missing/not complete). Ann#A & B PG broken. SDV incoming passing, close SDV transit at adjecent in case depressurize GTS manifold.Hyd",2726,0,,0
TN-G10,GTSG,High,164,,,SU1,NO,2 weeks,,Not yet survey,0,17-May-12,Cameron Fixed,YES, , ,SI,"SIBU_due to no flow. Last visited on 01/08/2022. IGS drop to 4.5 Barg, WHCP can't be operated. Nuflo N/A.  Found platform ESD-1 activated, tubing instrumentation not completed. Stranded Area. Walkway blocked by vegetation",2583,0,,0
TN-G13,GTSG,High,87,,,SU1,NO,2 weeks,,Not yet survey,0,29-Jan-12,Cameron Fixed,YES, , ,SI,"Last visited on 18/10/2023. Ann#A Broken, Ann#C PG n/a. Autochoke stuck closed. Depressurized well flowline from well to GTS for site preparation dredging by CB ASL 82 ( new well TN-G468/478/479/509 ).",2713,0,,0
TN-G167,GTSG,High,12,,,SU1,NO,2 weeks,,Not yet survey,0,17-Nov-14,Vonk,YES,,,SI,"SIBU_due to no flow. Last visited on 17/09/2023. Found platform ESD-1 activated, tubing instrumentation not completed. Stranded Area. SDV incoming at GTS-G stuck open (Trouble shoot I/P).   Isolate and depressurise flow line due to Finding PAUT at manifol",3118,0,,0.4
TN-G169,GTSG,High,167,,,SU1,NO,2 weeks,,Not yet survey,0,17-Nov-14,Cameron Plug & Cage CC30,YES,,,SI,"SIBU_due to no flow. Last visited on 17/09/2023. Regulator panel ESDV outgoing N/A. IGS drop to 4.5 Barg, WHCP can't be operated. nuFlo good.  Found platform ESD-1 activated, tubing instrumentation not completed. Stranded Area.  ANN - A outer 1 valve stuc",2686,0,,0
TN-G18,GTSG,High,110,,,SU1,NO,2 weeks,,Not yet survey,0,5-Sep-12,Cameron Fixed,YES, , ,SI,"SIBU_due to no flow. Last visited on 20/05/2023. Found leak from UMV vent actuator, ESDV outgoing IG regulator broken.",2474,0,,0
TN-G26,GTSG,High,43,,,SU1,NO,2 weeks,,Not yet survey,0,11-Feb-13,Cameron Fixed,YES, , ,SI,"SIBU_due to no flow. Last visited on 15/11/2023. DEMIN WATER. Ann#A and B PG broken, Ann#C PG n/a. PJC/CMM Performed resetting PSHH flowline become 42 BarG. SSV & DHSV pump broken,low performance.",2785,0,,0
TN-G3,GTSG,High,61,,,SU1,NO,2 weeks,,Not yet survey,0,,Cameron Blind CC40,, , ,SI,"ESD logic disconnected for panel WHCP. Last visited on 09/06/2023. Not Leak tested yet after replace Bolt, Nut and RTJ 1"" Thermowel and DBB PG Due to ESD Logic Disconnected. ESDV IGS force open.'Depressurize 8"" flowline and 2"" IG line, from WH to GTS for",3415,0,,0
TN-G45,GTSG,High,161,,,SU1,NO,2 weeks,,Not yet survey,0,3-Jun-16,Vonk,YES, , ,SI,"SIBU_due to no flow. Last visited on 01/08/2022. Quick exhaust SSV wing N/A. ESDV outgoing regulator and instrumentation incomplete. Found platform ESD-1 activated, tubing instrumentation not completed. Stranded Area. Walkway blocked by vegetation. SDV in",2463,0,,1.1
TN-G50,GTSG,High,4,,,Shallow,Hz-Screen,2 weeks,,Not yet survey,0,11-Jun-12,Cameron Needle & Seat,YES, , ,SI,"SIBU_due to no flow. Last visited on 4/11/2023 Remove DBB and DBC at Xmass tree and installed blind. Repair Autchoke d/t stuck closed, cpl. Note : positioner broken, Autochoke put on fully open position manually. Regulator master pump broken.  haskel pump",1814,0,,0
TN-Gx154,GTSGx,High,151,,,SU1,NO,2 weeks,,Not yet survey,0,13-Jan-14,Cameron Plug & Cage CC30,YES, , ,SI,Last visited on 2/1/2023. Ann#A Outlet Inner valve hard to operated & Ann#B = No PG. C.I package regulator N/A. Found seepage from WH choke bonnet. 2nd SDV incomming can't open due to 3way stuck.,2514,0,,0
